question_id,question,option_a,option_b,option_c,option_d,concept
2000,العشري سؤال 1: كم يساوي 1/9 ؟,0.5,0.25,1,2,الأعداد العشرية
2001,العشري سؤال 2: كم يساوي 2/2 ؟,0.5,0.25,1,2,تقريب الأعداد
2002,العشري سؤال 3: كم يساوي 3/5 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2003,العشري سؤال 4: كم يساوي 4/5 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2004,العشري سؤال 5: كم يساوي 5/9 ؟,0.5,0.25,1,2,الأعداد العشرية
2005,العشري سؤال 6: كم يساوي 6/3 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2006,العشري سؤال 7: كم يساوي 7/9 ؟,0.5,0.25,1,2,تقريب الأعداد
2007,العشري سؤال 8: كم يساوي 8/6 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2008,العشري سؤال 9: كم يساوي 9/6 ؟,0.5,0.25,1,2,الأعداد العشرية
2009,العشري سؤال 10: كم يساوي 10/9 ؟,0.5,0.25,1,2,تقريب الأعداد
2010,العشري سؤال 11: كم يساوي 11/6 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2011,العشري سؤال 12: كم يساوي 12/5 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2012,العشري سؤال 13: كم يساوي 13/4 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2013,العشري سؤال 14: كم يساوي 14/4 ؟,0.5,0.25,1,2,تقريب الأعداد
2014,العشري سؤال 15: كم يساوي 15/9 ؟,0.5,0.25,1,2,الأعداد العشرية
2015,العشري سؤال 16: كم يساوي 16/2 ؟,0.5,0.25,1,2,تقريب الأعداد
2016,العشري سؤال 17: كم يساوي 17/8 ؟,0.5,0.25,1,2,الأعداد العشرية
2017,العشري سؤال 18: كم يساوي 18/9 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2018,العشري سؤال 19: كم يساوي 19/9 ؟,0.5,0.25,1,2,تقريب الأعداد
2019,العشري سؤال 20: كم يساوي 20/2 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2020,العشري سؤال 21: كم يساوي 21/8 ؟,0.5,0.25,1,2,الأعداد العشرية
2021,العشري سؤال 22: كم يساوي 22/4 ؟,0.5,0.25,1,2,الأعداد العشرية
2022,العشري سؤال 23: كم يساوي 23/4 ؟,0.5,0.25,1,2,الأعداد العشرية
2023,العشري سؤال 24: كم يساوي 24/9 ؟,0.5,0.25,1,2,تقريب الأعداد
2024,العشري سؤال 25: كم يساوي 25/2 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2025,العشري سؤال 26: كم يساوي 26/7 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2026,العشري سؤال 27: كم يساوي 27/9 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2027,العشري سؤال 28: كم يساوي 28/7 ؟,0.5,0.25,1,2,تقريب الأعداد
2028,العشري سؤال 29: كم يساوي 29/9 ؟,0.5,0.25,1,2,الأعداد العشرية
2029,العشري سؤال 30: كم يساوي 30/8 ؟,0.5,0.25,1,2,تقريب الأعداد
2030,العشري سؤال 31: كم يساوي 31/4 ؟,0.5,0.25,1,2,الأعداد العشرية
2031,العشري سؤال 32: كم يساوي 32/3 ؟,0.5,0.25,1,2,تقريب الأعداد
2032,العشري سؤال 33: كم يساوي 33/3 ؟,0.5,0.25,1,2,تقريب الأعداد
2033,العشري سؤال 34: كم يساوي 34/6 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2034,العشري سؤال 35: كم يساوي 35/8 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2035,العشري سؤال 36: كم يساوي 36/5 ؟,0.5,0.25,1,2,الأعداد العشرية
2036,العشري سؤال 37: كم يساوي 37/4 ؟,0.5,0.25,1,2,الأعداد العشرية
2037,العشري سؤال 38: كم يساوي 38/2 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2038,العشري سؤال 39: كم يساوي 39/8 ؟,0.5,0.25,1,2,الأعداد العشرية
2039,العشري سؤال 40: كم يساوي 40/2 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2040,العشري سؤال 41: كم يساوي 41/6 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2041,العشري سؤال 42: كم يساوي 42/8 ؟,0.5,0.25,1,2,تقريب الأعداد
2042,العشري سؤال 43: كم يساوي 43/8 ؟,0.5,0.25,1,2,تقريب الأعداد
2043,العشري سؤال 44: كم يساوي 44/8 ؟,0.5,0.25,1,2,مقارنة الأعداد العشرية
2044,العشري سؤال 45: كم يساوي 45/4 ؟,0.5,0.25,1,2,الأعداد العشرية
2045,العشري سؤال 46: كم يساوي 46/6 ؟,0.5,0.25,1,2,تقريب الأعداد
2046,العشري سؤال 47: كم يساوي 47/3 ؟,0.5,0.25,1,2,الأعداد العشرية
2047,العشري سؤال 48: كم يساوي 48/8 ؟,0.5,0.25,1,2,تقريب الأعداد
2048,العشري سؤال 49: كم يساوي 49/7 ؟,0.5,0.25,1,2,تقريب الأعداد
2049,العشري سؤال 50: كم يساوي 50/3 ؟,0.5,0.25,1,2,تقريب الأعداد
